Delivery_ID,Rider_ID,Shift_Hour,Cumulative_Deliveries,Has_Elevator,Building_Floor,Traffic_Density,Delay_From_Target_Min,Burnout_Score
6d77379f,RIDER_103,9,8,0,5,Medium,-2.7,98
71659ff7,RIDER_093,5,12,0,10,Medium,-0.6,100
31f8f134,RIDER_015,2,15,1,0,Low,5.9,49
9f94a302,RIDER_107,3,19,1,4,Low,5.8,54
672596bd,RIDER_072,4,16,1,0,Medium,2.0,60
9844c84f,RIDER_021,5,14,1,10,Medium,6.5,75
197c0c0a,RIDER_103,3,7,0,8,High,4.4,100
aa11fc75,RIDER_122,7,8,1,9,High,0.1,84
94b120cf,RIDER_075,5,7,0,3,High,0.6,86
353918a3,RIDER_088,5,18,1,1,High,-3.1,80
e128fcc2,RIDER_117,6,24,1,8,Medium,1.5,84
faa6acd5,RIDER_100,7,6,1,5,Low,-0.4,45
e61b70c3,RIDER_104,10,19,1,10,Low,-2.0,82
790b7cbf,RIDER_131,10,4,1,9,High,-0.9,85
318a1da1,RIDER_150,8,23,1,2,Low,8.0,84
cb8bd539,RIDER_053,9,3,1,1,Low,0.1,58
3a34b8c7,RIDER_002,4,17,1,5,Medium,8.3,71
79e19447,RIDER_088,5,22,0,9,Medium,2.2,100
e8cc71cf,RIDER_038,5,19,0,5,Medium,1.1,100
d3e17c40,RIDER_130,8,15,1,8,Medium,4.1,91
8480d6e3,RIDER_021,9,6,1,4,Medium,-7.5,70
49f43066,RIDER_058,7,12,1,10,Medium,10.3,86
be67aaf5,RIDER_022,5,19,0,8,Medium,5.8,100
89192b7a,RIDER_089,3,6,1,4,Low,2.8,41
715e04ad,RIDER_049,1,11,1,1,High,5.3,54
1065ea47,RIDER_059,9,20,1,0,Medium,2.2,90
bef35d3c,RIDER_015,5,20,1,8,Medium,-0.4,67
4058366e,RIDER_051,9,10,0,9,Medium,1.9,100
472febd5,RIDER_108,10,16,1,6,Medium,0.3,85
8b53cbb2,RIDER_055,4,18,1,2,Medium,-1.6,62
1fde05f2,RIDER_064,5,14,1,5,Low,0.4,56
29830590,RIDER_131,4,4,0,9,Low,2.9,97
cb006b11,RIDER_051,2,12,0,3,Low,3.4,58
95696f5e,RIDER_135,1,20,1,8,High,7.6,70
615d2004,RIDER_021,8,23,1,1,Medium,0.8,94
91e476ae,RIDER_073,4,21,1,10,Low,-0.8,60
415d3199,RIDER_018,5,8,0,3,Medium,-3.0,74
020e7f96,RIDER_132,6,7,1,0,Low,3.8,59
9b553966,RIDER_089,8,9,0,6,Medium,7.8,100
c505708f,RIDER_060,8,24,1,3,High,0.4,100
5122ec62,RIDER_014,7,17,1,4,High,-0.3,88
7f768b37,RIDER_009,4,10,1,0,Medium,5.5,58
7f1bccf0,RIDER_090,6,3,0,1,High,-2.3,72
dff9495d,RIDER_053,4,21,0,3,High,8.5,100
ae59a5c6,RIDER_130,7,8,1,1,Medium,1.7,71
b39ba541,RIDER_084,1,14,1,0,High,3.5,66
0ca7e457,RIDER_092,5,7,1,9,Medium,2.2,57
c3b4c3f0,RIDER_111,10,16,1,0,Low,-8.0,83
