Delivery_ID,Rider_ID,Shift_Hour,Cumulative_Deliveries,Has_Elevator,Building_Floor,Traffic_Density,Delay_From_Target_Min,Burnout_Score
f98707cc,RIDER_103,9,14,1,7,Medium,-2.0,87
1a059f97,RIDER_093,5,2,1,10,Medium,4.2,47
09d083f7,RIDER_015,2,21,0,5,Medium,-1.0,85
1b288c51,RIDER_107,3,4,1,5,Low,3.1,36
067ac1d9,RIDER_072,4,19,1,1,Low,5.3,61
f62b6fea,RIDER_021,5,21,0,3,Medium,5.7,100
2a71162a,RIDER_103,3,16,0,4,Medium,12.5,100
f1d2abf8,RIDER_122,7,22,1,10,Medium,2.0,80
81e8c2d4,RIDER_075,5,17,1,9,Low,0.8,57
da9ccf7e,RIDER_088,5,2,1,4,Low,-0.5,42
7fd76021,RIDER_117,6,17,1,2,High,4.5,80
ecd573cb,RIDER_100,7,19,0,9,High,1.5,100
77a6cb30,RIDER_104,8,8,1,4,Medium,-1.4,67
b6e76825,RIDER_131,9,24,1,4,High,-1.5,100
98ef2d5b,RIDER_150,4,20,1,1,Medium,7.0,75
15a7a62f,RIDER_053,5,6,0,4,High,5.5,99
79c033ec,RIDER_002,5,12,1,2,Medium,7.3,70
bce528c5,RIDER_088,8,23,1,2,Medium,-3.7,89
724d1eb5,RIDER_038,9,18,0,4,Medium,0.6,100
70a0a76f,RIDER_130,7,2,1,8,Low,-1.7,45
4f6189ad,RIDER_021,5,19,1,1,Low,2.5,59
ae5a0016,RIDER_058,3,24,1,8,Medium,-1.2,64
3fc1419f,RIDER_022,1,10,1,2,Low,7.6,42
889495f7,RIDER_089,9,3,1,6,Medium,0.6,66
b3007bbc,RIDER_049,5,12,1,0,Medium,9.4,67
12a8c17b,RIDER_059,9,16,1,0,Low,5.4,83
c7bdd459,RIDER_015,4,12,1,7,Medium,5.6,63
e931a6d3,RIDER_051,5,8,1,8,Low,8.9,62
cc73cd95,RIDER_108,4,5,1,2,Low,2.3,41
cf03d0ed,RIDER_055,2,11,1,5,Medium,5.4,49
532212d2,RIDER_064,1,10,1,2,Medium,3.3,43
87504dbc,RIDER_131,8,3,0,5,Low,-1.2,94
aebda1f4,RIDER_051,4,23,1,6,Low,-0.5,57
05015913,RIDER_135,5,9,1,4,Medium,1.2,56
0291fb5e,RIDER_021,6,12,0,2,Low,3.8,58
